Brand, Type, Color, Name, TD, Owned, Uuid
Jayo,PLA,#000000,Black,1.7,false,{54f35108-a6c2-459a-834b-2af3cf0de4a4}
Geeetech,PLA,#1074bb,Blue,2.7,false,{f4734b09-e5ca-47e3-929d-351baa92fe19}
Geeetech,PLA,#aba190,Bone White,2.5,false,{ed3a0101-28bc-46f8-bead-836da2ee5346}
Geeetech,PLA,#63cb6b,Green,3.8,false,{524b7e40-a15a-43a6-9642-5be711dd02e1}
Jayo,PLA,#636767,Grey,2.9,false,{5b15c677-8ff1-4172-970c-097baa32e311}
Geeetech,PLA,#e99d48,Orange,6,false,{0d7b3ed7-5432-46df-a9fc-fcd51f8f02a7}
Geeetech,PLA,#ff90d8,Pink,5,false,{17a65e34-afcd-46e4-b373-b5ffef7bfbc3}
Geeetech,PLA,#813f92,Purple,2.4,false,{6838f269-6c44-4acd-9e91-9b45f85d6926}
Geeetech,PLA,#ff381e,Red,3.2,false,{40602260-20fb-4996-a0d7-3f714c6e0c3c}
Geeetech,PLA,#04aacb,Water Blue,3,false,{f208f5dc-6a72-4a21-b0b3-dadbe043cd82}
Sunlu Meta,PLA,#ffffff,White,5.5,false,{4097523d-486c-4723-ae88-e18dad0808e9}
Jayo,PLA,#d9e0e9,White,2.2,false,{f75ff860-b905-4411-91f1-11de64f0eac8}
Geeetech,PLA,#fff454,Yellow,3.5,false,{681a42c6-a3a5-4c60-9d2e-93926781d959}
Sunlu Meta,PLA,#000000,Black,4,false,{40e7e873-14ce-45b9-9201-62f0a81e4007}
